"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"55",55,21,"conroy2011","conroy","2011","exp",45,"robot assisted therapy without gravity compensation","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,57,NA,1095,">1year",3,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","73.2",NA,"","","",NA,"",NA,3,"fma-ue","fma","","lohse",1,0,20,20.3,14.7,1,17,23.27,NA,1,0,17,23.6,NA,0.5,2.97,14.7,3.3,14.7,0.202040816,0.224489796,0.96,0.193959184,0.215510204,0.051020512,0.051259892,0.047020504,0.047241116,0.5,489.709367088608,33.0907842155486,13.4322359036451,-16.5864556962025,4.24264068711928,-1.29545111853289,-3.29253164556962,1.82037974683544,6.48074069840786,0.314867716312838
"56",56,21,"conroy2011","conroy","2011","exp",46,"robot assisted therapy with gravity compensation","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,60,NA,1825,">1year",5,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","70.6",NA,"","","",NA,"",NA,5,"fma-ue","fma","","lohse",1,0,21,16.5,10.6,1,16,18.2,NA,1,0,16,19.11,NA,0.5,1.7,10.6,2.61,10.6,0.160377358,0.246226415,0.962025316,0.154287079,0.236876045,0.04823145,0.049062558,0.044637855,0.04540704,0.5,1219.70936708861,42.7200187265877,23.0614704146842,-16.5864556962025,4.24264068711928,-1.29545111853289,-0.292531645569618,1.82037974683544,6.48074069840786,0.314867716312838
"72",72,28,"de deigo2013","de deigo","2013","exp",60,"sensory stimulation + functional activity training","http://www.ncbi.nlm.nih.gov/pubmed/23524843","spain","","barcelona",44,44,44,1,56,NA,61.9,NA,1341,">1year",3.673972603,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma","fma","","lohse",0,0,12,24.3,4.6,0,12,29.4,4.9,0,NA,NA,NA,NA,0.5,5.1,4.752367831,NA,4.6,1.073149256,NA,0.930232558,0.998278377,NA,0.131318722,NA,0.113634373,NA,0.5,735.709367088608,36.6196668472011,16.9611185352976,9.41354430379747,6.6332495807108,1.09515777505863,1.60746835443038,15.8203797468354,7.48331477354788,1.31744179145286
"73",73,28,"de deigo2013","de deigo","2013","ctrl",61,"traditional therapy","http://www.ncbi.nlm.nih.gov/pubmed/23524843","spain","","barcelona",16,16,16,1,56,NA,60.6,NA,1821,">1year",4.989041096,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"fma","fma","","lohse",0,0,9,33.73,7.3,0,9,36.7,7.6,0,NA,NA,NA,NA,0.5,2.97,7.451509914,NA,7.3,0.398576937,NA,0.903225806,0.360004976,NA,0.119936865,NA,0.097846517,NA,-0.5,1215.70936708861,42.6731765867037,23.0146282748003,-18.5864556962025,4,-1.53809180565217,0.307468354430384,15.8203797468354,7.48331477354788,1.31744179145286
"84",84,31,"desrosiers2005","desrosiers","2005","exp",66,"cpt + repetition of unilateral and symmetrical tasks","http://www.ncbi.nlm.nih.gov/pubmed/16180593","canada","quebec","sherbrooke",15,15,15,1,35,NA,72.2,NA,34.2,"<90days",0.09369863,1,NA,"","83.5","124.1","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",10.1,"",NA,3,"fma-ue","fma","","lohse",0,0,20,42.9,20,0,17,46.1,18.4,0,NA,NA,NA,NA,0.5,3.2,19.28504972,NA,20,0.165931644,NA,0.96,0.159294378,NA,0.050688333,NA,0.046714367,NA,0.5,-571.090632911392,5.84807660688538,-13.8104717050181,-19.5864556962025,3.87298334620742,-1.66510845944476,11.9074683544304,-5.17962025316456,5.91607978309962,-0.249793198995406
"85",85,31,"desrosiers2005","desrosiers","2005","ctrl",67,"CPT dosage matched to experimental group","http://www.ncbi.nlm.nih.gov/pubmed/16180593","canada","quebec","sherbrooke",15,15,15,1,35,NA,74.3,NA,35.4,"<90days",0.096986301,1,NA,"","86.1","117.3","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",11.6,"",NA,5,"fma-ue","fma","","lohse",0,0,21,47,16.1,0,16,51.3,14.1,0,NA,NA,NA,NA,0.5,4.3,15.27495616,NA,16.1,0.281506536,NA,0.962025316,0.270816415,NA,0.049505855,NA,0.045817308,NA,-0.5,-569.890632911392,5.94978991225741,-13.7087583996461,-19.5864556962025,3.87298334620742,-1.66510845944476,14.0074683544304,-5.17962025316456,5.91607978309962,-0.249793198995406
"114",114,39,"duncan2003","duncan","2003","ctrl",84,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/12920254","usa","FL","gainesville",28.65,28.65,28.65,3,84,NA,70.2,11.4,73.5,"<90days",0.201369863,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"fma-ue","fma","","lohse",0,1,48,23.7,3.5,1,48,25.46,NA,NA,NA,NA,NA,NA,0.5,1.76,3.5,NA,3.5,0.502857143,NA,0.983957219,0.494789916,NA,0.023467347,NA,0.022720424,NA,-0.5,-531.790632911392,8.57321409974112,-11.0853342121624,-5.93645569620254,5.35256947642905,-0.18552232922312,9.90746835443039,43.8203797468354,9.16515138991168,2.99927840781666
"115",115,39,"duncan2003","duncan","2003","exp",85,"home exercise program","http://www.ncbi.nlm.nih.gov/pubmed/12920254","usa","FL","gainesville",50.66,50.66,50.66,3,84,NA,68.5,9,77.5,"<90days",0.212328767,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,6,"fma-ue","fma","","lohse",0,1,44,24.1,3.7,1,44,26.84,NA,NA,NA,NA,NA,NA,0.5,2.74,3.7,NA,3.7,0.740540541,NA,0.98245614,0.727548601,NA,0.028959094,NA,0.027951899,NA,0.5,-527.790632911392,8.8034084308295,-10.855139881074,16.0735443037975,7.1175838597097,1.57949205405752,8.20746835443038,43.8203797468354,9.16515138991168,2.99927840781666
"135",135,42,"fang2003","fang","2003","exp",91,"additional early physiotherapy","http://www.ncbi.nlm.nih.gov/pubmed/12971705","china","","guangzhou",15,15,15,1,30,180,65.49,10.94,7,"<90days",0.019178082,1,NA,"19.37","","","",NA,"","25.7",NA,"",NA,NA,14.04,"","",NA,"","","",NA,"",NA,28,"fma-ue","fma","","lohse",0,0,50,16.5,16.34,0,50,25.89,20.83,1,0,14,41.86,23.82,0.5,9.39,18.72010283,25.36,18.16540739,0.501599809,1.396060074,0.984615385,0.493882889,1.374582227,0.022516024,0.039489837,0.021828552,0.038284112,0.5,-598.290632911392,2.64575131106459,-17.0127970008389,-19.5864556962025,3.87298334620742,-1.66510845944476,5.19746835443038,-10.1796202531646,5.47722557505166,-0.688647407043361
"136",136,42,"fang2003","fang","2003","ctrl",92,"not clear described as CPT and ""no professional rehabilitation""","http://www.ncbi.nlm.nih.gov/pubmed/12971705","china","","guangzhou",11.25,11.25,11.25,1,30,180,61.8,10.94,7,"<90days",0.019178082,1,NA,"18.85","","","",NA,"","33.53",NA,"",NA,NA,13.1,"","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",0,0,78,22.99,21.91,0,78,28.66,21.4,1,0,12,48.52,26.65,0.5,5.67,21.65650133,25.53,22.5570366,0.261815143,1.131797605,0.990228013,0.259256689,1.120737694,0.013259918,0.021031832,0.013002032,0.020622795,-0.5,-598.290632911392,2.64575131106459,-17.0127970008389,-23.3364556962025,3.35410196624968,-2.18398983940249,1.50746835443038,-10.1796202531646,5.47722557505166,-0.688647407043361
"139",139,43,"feys1998","feys","1998","ctrl",93,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/9550512","belgium","","leuven",15,15,15,2,42,365,62.78,NA,24.02,"<90days",0.065808219,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,4,"fma-ue","fma","","lohse",0,0,50,2.357142857,0.782868222,0,46,2.792857143,0.883883476,NA,NA,39,3.160714286,0.833375849,0.5,0.435714286,0.832756893,0.803571429,0.805318753,0.523219068,0.997830269,0.984615385,0.515169544,0.982479034,0.022737582,0.029956652,0.022043346,0.029042,-0.5,-581.270632911392,4.90102030193714,-14.7575280099664,-19.5864556962025,3.87298334620742,-1.66510845944476,2.48746835443038,1.82037974683544,6.48074069840786,0.314867716312838
"140",140,43,"feys1998","feys","1998","exp",94,"SC + sensory therapy","http://www.ncbi.nlm.nih.gov/pubmed/9550512","belgium","","leuven",30,30,30,2,42,365,65.62,NA,21.4,"<90days",0.058630137,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,10,"fma-ue","fma","","lohse",0,0,50,2.367857143,0.782868222,0,40,2.932142857,0.707106781,NA,NA,37,3.45,0.63134534,0.5,0.564285714,0.750236705,1.082142857,0.72258311,0.752143571,1.49760331,0.984615385,0.740572131,1.474563259,0.0256572,0.042428157,0.02487382,0.041132717,0.5,-583.890632911392,4.62601340248815,-15.0325349094153,-4.58645569620253,5.47722557505166,-0.0608662306005128,5.32746835443039,1.82037974683544,6.48074069840786,0.314867716312838
"179",179,54,"han2013","han","2013","ctrl",115,"regular rehabilitation therapy and medical treatment","http://www.ncbi.nlm.nih.gov/pubmed/22801472","china","","shandong",30,30,30,1,42,84,52.4,NA,41.4,"<90days",0.113424658,1,NA,"","","","",NA,"","51.5",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,1,"fma-ue","fma","","lohse",0,0,10,6.7,2.26,0,10,7.8,2.9,NA,NA,10,13,6.38,0.5,1.1,2.599769221,6.3,4.786021312,0.423114479,1.316333461,0.914285714,0.386847524,1.203504879,0.108951293,0.186636689,0.091074387,0.156013036,-0.5,-563.890632911392,6.43428317685817,-13.2242651350453,-4.58645569620253,5.47722557505166,-0.0608662306005128,-7.89253164556962,1.82037974683544,6.48074069840786,0.314867716312838
"180",180,54,"han2013","han","2013","exp",116,"CPT at increased intensity","http://www.ncbi.nlm.nih.gov/pubmed/22801472","china","","shandong",60,60,60,1,42,84,53.7,NA,42.9,"<90days",0.117534247,1,NA,"","","","",NA,"","62.5",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","fma","","lohse",0,0,10,8.2,3.43,0,10,12.3,6.55,NA,NA,10,19.7,7.09,0.5,4.1,5.228164114,11.5,5.569245909,0.784214097,2.064911514,0.914285714,0.716995746,1.887919098,0.130749588,0.313192978,0.109295982,0.261803763,0.5,-562.390632911392,6.54980915752513,-13.1087391543784,25.4135443037975,7.74596669241483,2.20787488676266,-6.59253164556961,1.82037974683544,6.48074069840786,0.314867716312838
"181",181,54,"han2013","han","2013","exp",117,"CPT at additional increased intensity","http://www.ncbi.nlm.nih.gov/pubmed/22801472","china","","shandong",90,90,90,1,42,84,44.6,NA,38.3,"<90days",0.104931507,1,NA,"","","","",NA,"","50.5",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,1,"fma-ue","fma","","lohse",0,0,10,6.5,3.06,0,10,12.4,5.5,NA,NA,10,24.5,7.96,0.5,5.9,4.45048312,18,6.03014096,1.32569877,2.985004848,0.914285714,1.212067447,2.72914729,0.187873862,0.545512697,0.157047212,0.456004083,0.5,-566.990632911392,6.18869937870632,-13.4698489331972,55.4135443037975,9.48683298050514,3.94874117485296,-15.6925316455696,1.82037974683544,6.48074069840786,0.314867716312838
"204",204,61,"housman2009","housman","2009","exp",130,"T-WREX assisted UE therapy","http://www.ncbi.nlm.nih.gov/pubmed/19237734","usa","IL","chicago",24,24,24,2,63,243,54.2,NA,2535,">1year",6.945205479,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"fma-ue","fma","","lohse",1,0,14,21.7,5.9,1,14,25,NA,1,0,14,25.3,NA,0.5,3.3,5.9,3.6,5.9,0.559322034,0.610169492,0.941176471,0.526420738,0.574277168,0.082601469,0.084725243,0.073169468,0.075050734,0.5,1929.70936708861,50.3487835006964,30.6902351887929,-10.5864556962025,4.89897948556636,-0.639112320085818,-6.09253164556961,22.8203797468354,7.93725393319377,1.77138095109875
"205",205,61,"housman2009","housman","2009","ctrl",131,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/19237734","usa","IL","chicago",24,24,24,2,63,243,56.4,NA,3372,">1year",9.238356164,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"fma-ue","fma","","lohse",1,0,14,18.1,5,1,14,20.3,NA,1,0,14,19.6,NA,0.5,2.2,5,1.5,5,0.44,0.3,0.941176471,0.414117647,0.282352941,0.078342857,0.074642857,0.069397133,0.066119624,-0.5,2766.70936708861,58.0689245638319,38.4103762519284,-10.5864556962025,4.89897948556636,-0.639112320085818,-3.89253164556962,22.8203797468354,7.93725393319377,1.77138095109875
"206",206,62,"hsieh2011","hsieh","2011","ctrl",132,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,1,28,NA,54,NA,849,">1year",2.326027397,0,NA,"28.67","","","",NA,"","",NA,"",NA,NA,NA,"0.66","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",1,1,6,37.5,11.67,0,6,40.33,11.86,NA,NA,NA,NA,NA,0.5,2.83,11.76538355,NA,11.67,0.240536145,NA,0.842105263,0.202556753,NA,0.171488136,NA,0.121609316,NA,-0.5,243.709367088608,29.1376045686669,9.47905625676344,-4.58645569620253,5.47722557505166,-0.0608662306005128,-6.29253164556962,-12.1796202531646,5.29150262212918,-0.874370359965841
"207",207,62,"hsieh2011","hsieh","2011","exp",133,"low dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,4,28,NA,52.45,NA,390,">1year",1.068493151,0,NA,"27.3","","","",NA,"","",NA,"",NA,NA,NA,"0.57","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",1,1,6,37.67,10,0,6,40,10.47,NA,NA,NA,NA,NA,0.5,2.33,10.2376975,NA,10,0.227590237,NA,0.842105263,0.191654936,NA,0.17098311,NA,0.12125118,NA,0.5,-215.290632911392,19.7484176581315,0.08986934622801,-4.58645569620253,5.47722557505166,-0.0608662306005128,-7.84253164556961,-12.1796202531646,5.29150262212918,-0.874370359965841
"208",208,62,"hsieh2011","hsieh","2011","exp",134,"high dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/21436390","taiwan","","taipei",30,30,30,4,28,NA,56.04,NA,639,">1year",1.750684932,0,NA,"27.3","","","",NA,"","",NA,"",NA,NA,NA,"0.64","",NA,"","","",NA,"",NA,0,"fma-ue","fma","","lohse",1,1,6,44,8.17,0,6,49.33,8.34,NA,NA,NA,NA,NA,0.5,5.33,8.255437602,NA,8.17,0.645635066,NA,0.842105263,0.543692687,NA,0.20140372,NA,0.142823691,NA,0.5,33.7093670886076,25.2784493195291,5.61990100762559,-4.58645569620253,5.47722557505166,-0.0608662306005128,-4.25253164556962,-12.1796202531646,5.29150262212918,-0.874370359965841
"209",209,63,"hsieh2012","hsieh","2012","ctrl",135,"conventional physical and occupational therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,1,28,NA,54.83,NA,672,">1year",1.84109589,1,NA,"28.3","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,1,"fma-ue","fma","","lohse",1,1,18,44.61,11.06,0,18,47.56,10.5,NA,NA,NA,NA,NA,0.5,2.95,10.78363575,NA,11.06,0.273562653,NA,0.955223881,0.261313579,NA,0.057634348,NA,0.052588614,NA,-0.5,66.7093670886076,25.9229627936314,6.26441448172795,-4.58645569620253,5.47722557505166,-0.0608662306005128,-5.46253164556962,-12.1796202531646,5.29150262212918,-0.874370359965841
"210",210,63,"hsieh2012","hsieh","2012","exp",136,"low dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,4,28,NA,52.2,NA,840,">1year",2.301369863,1,NA,"28","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","fma","","lohse",1,1,18,43.1,9.18,0,18,46.3,10.3,NA,NA,NA,NA,NA,0.5,3.2,9.75608528,NA,9.18,0.328000413,NA,0.955223881,0.313313827,NA,0.058544008,NA,0.053418636,NA,0.5,234.709367088608,28.9827534923789,9.32420518047539,-4.58645569620253,5.47722557505166,-0.0608662306005128,-8.09253164556961,-12.1796202531646,5.29150262212918,-0.874370359965841
"211",211,63,"hsieh2012","hsieh","2012","exp",137,"high dose robot assisted therapy","http://www.ncbi.nlm.nih.gov/pubmed/22895994","taiwan","","taipei",30,30,30,4,28,NA,56.5,NA,860,">1year",2.356164384,1,NA,"28.5","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","<3","",NA,"",NA,0,"fma-ue","fma","","lohse",1,1,18,42.8,8.86,0,18,48,8.2,NA,NA,NA,NA,NA,0.5,5.2,8.536380966,NA,8.86,0.609157443,NA,0.955223881,0.581881736,NA,0.065863133,NA,0.060096991,NA,0.5,254.709367088608,29.3257565972304,9.66720828532687,-4.58645569620253,5.47722557505166,-0.0608662306005128,-3.79253164556962,-12.1796202531646,5.29150262212918,-0.874370359965841
"240",240,72,"johannsen2010","johannsen","2010","exp",158,"bilateral arm training with auditory cuing","http://www.ncbi.nlm.nih.gov/pubmed/19822721","uk","","birmingham",7.5,7.5,7.5,1,42,90,68.1,10.19,2253,">1year",6.17260274,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"fma-ue","fma","","lohse",1,0,10,37.41,21.72,1,10,42.41,NA,1,0,10,38.51,NA,0.5,5,21.72,1.1,21.72,0.230202578,0.050644567,0.914285714,0.210470929,0.046303604,0.102649661,0.100128244,0.085806737,0.083699038,0.5,1647.70936708861,47.4657771452233,27.8072288333198,-27.0864556962025,2.73861278752583,-2.79947901812634,7.80746835443038,1.82037974683544,6.48074069840786,0.314867716312838
