"","index","study_id","id","author","year","group","group_id","group_desc","url","country","region","city","time_MAX","time_50","time_MIN","detailed_time","exp_dur","fu_dur","age_base","age_SD","days_ps","days_cat","yrs_ps","stroke_type","nihss_base","mmse_base","mMmse_base","fim_base","brunstrom_base","frenchay_base","fac_base","barthel_base","mBarthel_base","motricity_base","BBS_base","BBT_base","gcs_base","MAS_base","sis_base","rivermead_base","ashworth_base","mAshworth_base","rankin_base","bdi_base","cesd_base","OPS_base","terminal_dropout","outcome_name","outcome_extremity","ue_subscale","le_subscale","fma_outcome","speed_outcome","SCOAR_outcome","p_outcome_stated","itt_analysis","base_n","base_m","base_sd","difference_score","term_n","term_m","term_sd","diff_base","diff_term","fu_n","fu_m","fu_sd","est_corr","term_diff","term_s_diff","fu_diff","fu_s_diff","term_d","fu_d","j_corr_factor","term_g","fu_g","term_Vd","fu_Vd","term_Vg","fu_Vg","exp.c","DPS.c","rtDPS","rtDPS.c","time50.c","rtTIME","rtTIME.c","age.c","DUR.c","rtDUR","rtDUR.c"
"22",22,9,"boake2007","boake","2007","ctrl",18,"conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/17172550","usa","TX","houston",36,36,36,1,14,90,58.9,NA,14,"<90days",0.038356164,1,5.3,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,4,"fma-ue","ue","fma","","fma","","lohse",1,0,11,36.71,14.22,0,9,46.71,14.88,0,0,7,50.14,10.88,0.5,10,14.51703827,13.43,13.06792447,0.688845742,1.027707195,0.923076923,0.635857608,0.948652795,0.112477657,0.138917367,0.09583895,0.118367461,-0.5,-599.453795379538,3.74165738677394,-16.6037543681253,6.19405940594059,6,1.23563207264429,-2.08954455445544,-28.0555775577558,3.74165738677394,-2.37552455221833
"23",23,9,"boake2007","boake","2007","exp",19,"CIMT","http://www.ncbi.nlm.nih.gov/pubmed/17172550","usa","TX","houston",162,106,36,1,14,90,63.1,NA,14,"<90days",0.038356164,1,4.9,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"fma-ue","ue","fma","","fma","","lohse",1,0,10,29.44,12.11,0,9,47.89,6.71,0,0,9,53.44,8.63,0.5,18.45,9.941184981,24,10.61542745,1.855915571,2.260860442,0.914285714,1.696837093,2.067072404,0.27222113,0.355574497,0.227554643,0.297231253,0.5,-599.453795379538,3.74165738677394,-16.6037543681253,76.1940594059406,10.295630140987,5.53126221363129,2.11045544554456,-28.0555775577558,3.74165738677394,-2.37552455221833
"24",24,10,"bolognini2011","bolognini","2011","ctrl",20,"sham tDCS + CIMT","http://www.ncbi.nlm.nih.gov/pubmed/21803933","italy","","milan",184,112,40,1,14,42,50.8,NA,780,">1year",2.136986301,1,NA,"29.57","","","",NA,"","15.14",NA,"",NA,NA,NA,"","",NA,"","","",12,"",NA,0,"jebsen taylor hand function","ue","","","","","lohse",1,0,7,95.68,105.8,0,7,81.83,105.8,NA,NA,7,86.79,99.59,0.5,-13.85,105.8,-8.89,102.7419294,0.130907372,0.086527478,0.869565217,0.113832498,0.075241285,0.144081196,0.143391929,0.108946084,0.108424899,-0.5,166.546204620462,27.9284800875379,7.58306833263869,82.1940594059406,10.5830052442584,5.81863731690266,-10.1895445544554,-28.0555775577558,3.74165738677394,-2.37552455221833
"25",25,10,"bolognini2011","bolognini","2011","exp",21,"tDCS + CIMT","http://www.ncbi.nlm.nih.gov/pubmed/21803933","italy","","milan",184,112,40,1,14,42,42.57,NA,1332,">1year",3.649315068,1,NA,"29.42","","","",NA,"","17.86",NA,"",NA,NA,NA,"","",NA,"","","",6.8,"",NA,0,"jebsen taylor hand function","ue","","","","","lohse",1,0,7,100.65,103.005,0,7,67.97,93.37,NA,NA,7,72.16,91.15,0.5,-32.68,98.30561257,-28.49,97.25829663,0.332432698,0.292931308,0.869565217,0.289071911,0.254722876,0.150750821,0.148986339,0.113989279,0.112655077,0.5,718.546204620462,36.4965751817893,16.1511634268901,82.1940594059406,10.5830052442584,5.81863731690266,-18.4195445544554,-28.0555775577558,3.74165738677394,-2.37552455221833
"26",26,11,"brock2011","brock","2011","ctrl",22,"""task practice"" intervention","http://www.ncbi.nlm.nih.gov/pubmed/21788266","australia","victoria","melbourne",6,6,6,1,14,NA,56.6,15.8,63.6,"<90days",0.174246575,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"6minwt","le","","capacity","","","lohse",1,0,15,78.5,61.3,0,14,119.5,80.2,0,0,NA,NA,NA,0.5,41,71.0305568,NA,61.3,0.577216368,NA,0.945454545,0.545731839,NA,0.077772625,NA,0.069519728,NA,-0.5,-549.853795379538,7.97496081495075,-12.3704509399484,-23.8059405940594,2.44948974278318,-2.31487818457253,-4.38954455445544,-28.0555775577558,3.74165738677394,-2.37552455221833
"27",27,11,"brock2011","brock","2011","exp",23,"bobath + task specific practice","http://www.ncbi.nlm.nih.gov/pubmed/21788266","australia","victoria","melbourne",6,6,6,1,14,NA,61.3,13,60.3,"<90days",0.165205479,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,2,"6minwt","le","","capacity","","","lohse",1,0,14,102.6,64.5,0,12,192.5,113.5,0,0,NA,NA,NA,0.5,89.9,90.32072483,NA,64.5,0.995341879,NA,0.941176471,0.936792357,NA,0.106810909,NA,0.094614508,NA,0.5,-553.153795379538,7.76530746332687,-12.5801042915723,-23.8059405940594,2.44948974278318,-2.31487818457253,0.310455445544555,-28.0555775577558,3.74165738677394,-2.37552455221833
"32",32,13,"brokaw2014","brokaw","2014","ctrl",26,"conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/24297763","usa","DC","washington DC",12,12,12,1,30,NA,57,NA,1095,">1year",3,0,NA,"","","","",NA,"","",NA,"",NA,6.1,NA,"","",NA,"","","",NA,"",NA,0,"fma","ue","fma","","fma","","lohse",0,0,5,17.6,4.35,0,5,18.39,4.38,NA,NA,NA,NA,NA,0.5,0.79,4.365025773,NA,4.35,0.18098404,NA,0.8,0.144787232,NA,0.203275522,NA,0.130096334,NA,-0.5,481.546204620462,33.0907842155486,12.7453724606494,-17.8059405940594,3.46410161513775,-1.30026631221795,-3.98954455445544,-12.0555775577558,5.47722557505166,-0.639956363940607
"33",33,13,"brokaw2014","brokaw","2014","exp",27,"robot-assisted UE therapy","http://www.ncbi.nlm.nih.gov/pubmed/24297763","usa","DC","washington DC",12,12,12,1,30,NA,57,NA,1095,">1year",3,0,NA,"","","","",NA,"","",NA,"",NA,6.1,NA,"","",NA,"","","",NA,"",NA,0,"fma","ue","fma","","fma","","lohse",0,0,7,25.75,11.03,0,7,28.47,12.3,NA,NA,NA,NA,NA,0.5,2.72,11.68227076,NA,11.03,0.232831447,NA,0.869565217,0.202462128,NA,0.14672932,NA,0.110948446,NA,0.5,481.546204620462,33.0907842155486,12.7453724606494,-17.8059405940594,3.46410161513775,-1.30026631221795,-3.98954455445544,-12.0555775577558,5.47722557505166,-0.639956363940607
"34",34,14,"brunner2012","brunner","2012","exp",28,"bimanual therapy","http://www.ncbi.nlm.nih.gov/pubmed/22561098","norway","","bergen",26,26,26,1,28,118,64.8,NA,36.9,"<90days",0.10109589,1,NA,">24","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"arat","ue","arat","","","","lohse",1,0,16,30.07,13.99,0,15,45.27,13.8,NA,NA,15,45.53,14.49,0.5,15.2,13.89860015,15.46,14.23357238,1.093635318,1.086164428,0.949152542,1.038026743,1.030935728,0.099876194,0.099367286,0.089977519,0.089519049,0.5,-576.553795379538,6.07453701939498,-14.2708747355042,-3.80594059405941,5.09901951359278,0.334651586237077,3.81045544554456,-14.0555775577558,5.29150262212918,-0.825679316863087
"35",35,14,"brunner2012","brunner","2012","exp",29,"modified CIMT","http://www.ncbi.nlm.nih.gov/pubmed/22561098","norway","","bergen",106,66,26,1,28,118,61,NA,48.43,"<90days",0.132684932,1,NA,">24","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"arat","ue","arat","","","","lohse",1,0,14,26.46,13.18,0,13,39.69,13.4,NA,NA,13,44.23,15.08,0.5,13.23,13.28605464,17.77,14.1239343,0.995780941,1.258148022,0.941176471,0.937205592,1.184139315,0.106842132,0.127962016,0.094642165,0.113350436,0.5,-565.023795379538,6.95916661677244,-13.3862451381267,36.1940594059406,8.12403840463596,3.35967047728025,0.010455445544558,-14.0555775577558,5.29150262212918,-0.825679316863087
"36",36,15,"burgar2011","burgar","2011","exp",30,"robot lo","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",8.6,8.6,8.6,1,21,180,62.5,NA,17.3,"<90days",0.04739726,1,NA,">22","","28.4","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.44","",NA,"",NA,5,"fma","ue","fma","","fma","","lohse",1,0,19,26.7,21.79449472,1,19,33.5,NA,1,0,14,42.6,NA,0.5,6.8,21.79449472,15.9,21.79449472,0.312005398,0.729542034,0.957746479,0.298822071,0.698716314,0.055193352,0.066637673,0.050627665,0.061125293,0.5,-596.153795379538,4.15932686861708,-16.1860848862821,-21.2059405940594,2.93257565972304,-1.83179226763267,1.51045544554456,-21.0555775577558,4.58257569495584,-1.53460624403643
"37",37,15,"burgar2011","burgar","2011","ctrl",31,"standard care","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",9.4,9.4,9.4,1,21,180,68.1,NA,10.6,"<90days",0.029041096,1,NA,">22","","26.9","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.33","",NA,"",NA,6,"fma","ue","fma","","fma","","lohse",1,0,18,24.2,20.3646753,1,18,38.2,NA,1,0,12,39.5,NA,0.5,14,20.3646753,15.3,20.3646753,0.687464926,0.751300955,0.955223881,0.656682915,0.717660614,0.068683556,0.071234809,0.062670494,0.064998391,-0.5,-602.853795379538,3.25576411921994,-17.0896476356793,-20.4059405940594,3.06594194335118,-1.69842598400453,7.11045544554455,-21.0555775577558,4.58257569495584,-1.53460624403643
"38",38,15,"burgar2011","burgar","2011","exp",32,"robot hi","http://www.ncbi.nlm.nih.gov/pubmed/21674393","usa","TX","temple",15.8,15.8,15.8,1,21,180,58.6,NA,16.6,"<90days",0.045479452,1,NA,">22","","27.9","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","0.31","",NA,"",NA,7,"fma","ue","fma","","fma","","lohse",1,0,17,19,15.25549081,1,17,33.4,NA,1,0,11,42.6,NA,0.5,14.4,15.25549081,23.6,15.25549081,0.943922433,1.546983987,0.952380952,0.898973745,1.473318083,0.085029105,0.129210572,0.077123904,0.117197798,0.5,-596.853795379538,4.07430975749267,-16.2711019974065,-14.0059405940594,3.97492138287036,-0.78944654448535,-2.38954455445544,-21.0555775577558,4.58257569495584,-1.53460624403643
"41",41,17,"cauraugh2003","cauraugh","2003","ctrl",35,"bilateral arm training","http://www.ncbi.nlm.nih.gov/pubmed/14568122","usa","FL","gainesville",6,6,6,1,14,NA,66.4,NA,1022,">1year",2.8,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"box and block test","ue","","","","","lohse",0,0,6,15.1,7.8,0,6,14.5,11.3,NA,NA,NA,NA,NA,0.5,-0.6,9.709016428,NA,7.8,-0.061798227,NA,0.842105263,-0.052040612,NA,0.166984918,NA,0.118415898,NA,-0.5,408.546204620462,31.9687347262916,11.6233229713924,-23.8059405940594,2.44948974278318,-2.31487818457253,5.41045544554456,-28.0555775577558,3.74165738677394,-2.37552455221833
"42",42,17,"cauraugh2003","cauraugh","2003","exp",36,"bilateral arm training + 5s stimulation","http://www.ncbi.nlm.nih.gov/pubmed/14568122","usa","FL","gainesville",6,6,6,1,14,NA,66.4,NA,1022,">1year",2.8,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"box and block test","ue","","","","","lohse",0,0,10,15.7,10.12,0,10,19.5,7.59,NA,NA,NA,NA,NA,0.5,3.8,8.944900782,NA,10.12,0.424823046,NA,0.914285714,0.388409642,NA,0.109023731,NA,0.091134939,NA,0.5,408.546204620462,31.9687347262916,11.6233229713924,-23.8059405940594,2.44948974278318,-2.31487818457253,5.41045544554456,-28.0555775577558,3.74165738677394,-2.37552455221833
"43",43,17,"cauraugh2003","cauraugh","2003","exp",37,"bilateral arm training + 10s stimulation","http://www.ncbi.nlm.nih.gov/pubmed/14568122","usa","FL","gainesville",6,6,6,1,14,NA,66.4,NA,1022,">1year",2.8,0,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,0,"box and block test","ue","","","","","lohse",0,0,10,22.9,15.8,0,10,27.8,15.5,NA,NA,NA,NA,NA,0.5,4.9,15.65071883,NA,15.8,0.313084661,NA,0.914285714,0.286248833,NA,0.1049011,NA,0.087688756,NA,0.5,408.546204620462,31.9687347262916,11.6233229713924,-23.8059405940594,2.44948974278318,-2.31487818457253,5.41045544554456,-28.0555775577558,3.74165738677394,-2.37552455221833
"48",48,20,"cho2013","cho","2013","ctrl",42,"treadmill training + conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/23598900","south korea","","seoul",33,33,33,1,42,NA,65.14,4.74,312,"<1year",0.854794521,1,NA,"26.14","","","2.57",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"BBS","le","","","","","lohse",0,0,8,35.14,3.53,0,7,37,3.21,0,0,NA,NA,NA,0.5,1.86,3.386067608,NA,3.53,0.549309764,NA,0.888888889,0.488275346,NA,0.143858826,NA,0.113666233,NA,-0.5,-301.453795379538,17.6635217326557,-2.6818900222435,3.19405940594059,5.74456264653803,0.980194719182321,4.15045544554456,-0.0555775577557753,6.48074069840786,0.363558759415592
"49",49,20,"cho2013","cho","2013","exp",43,"virtual reality walking + conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/23598900","south korea","","seoul",33,33,33,1,42,NA,64.57,4.35,288.28,"<1year",0.789808219,1,NA,"26.71","","","2.85",NA,"","",NA,"",NA,NA,NA,"","",NA,"","","",NA,"",NA,1,"BBS","le","","","","","lohse",0,0,8,36.71,2.28,0,7,40.85,1.67,0,0,NA,NA,NA,0.5,4.14,2.021465576,NA,2.28,2.048019045,NA,0.888888889,1.820461374,NA,0.387148876,NA,0.305895408,NA,0.5,-325.173795379538,16.9788103234591,-3.36660143144013,3.19405940594059,5.74456264653803,0.980194719182321,3.58045544554455,-0.0555775577557753,6.48074069840786,0.363558759415592
"54",54,21,"conroy2011","conroy","2011","ctrl",44,"intensive conventional arm therapy","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,56,NA,1460,">1year",4,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","71.4",NA,"","","",NA,"",NA,2,"fma-ue","ue","fma","","fma","","lohse",1,0,21,18.2,12.5,1,19,19.39,NA,1,0,19,20.02,NA,0.5,1.19,12.5,1.82,12.5,0.0952,0.1456,0.962025316,0.09158481,0.140070886,0.047834834,0.048123794,0.04427079,0.044538221,-0.5,846.546204620462,38.2099463490856,17.8645345941864,-11.8059405940594,4.24264068711928,-0.521727240236423,-4.98954455445544,-0.0555775577557753,6.48074069840786,0.363558759415592
"55",55,21,"conroy2011","conroy","2011","exp",45,"robot assisted therapy without gravity compensation","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,57,NA,1095,">1year",3,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","73.2",NA,"","","",NA,"",NA,3,"fma-ue","ue","fma","","fma","","lohse",1,0,20,20.3,14.7,1,17,23.27,NA,1,0,17,23.6,NA,0.5,2.97,14.7,3.3,14.7,0.202040816,0.224489796,0.96,0.193959184,0.215510204,0.051020512,0.051259892,0.047020504,0.047241116,0.5,481.546204620462,33.0907842155486,12.7453724606494,-11.8059405940594,4.24264068711928,-0.521727240236423,-3.98954455445544,-0.0555775577557753,6.48074069840786,0.363558759415592
"56",56,21,"conroy2011","conroy","2011","exp",46,"robot assisted therapy with gravity compensation","http://www.ncbi.nlm.nih.gov/pubmed/21849168","usa","MD","baltimore",18,18,18,1,42,126,60,NA,1825,">1year",5,1,NA,"","","","",NA,"","",NA,"",NA,NA,NA,"","70.6",NA,"","","",NA,"",NA,5,"fma-ue","ue","fma","","fma","","lohse",1,0,21,16.5,10.6,1,16,18.2,NA,1,0,16,19.11,NA,0.5,1.7,10.6,2.61,10.6,0.160377358,0.246226415,0.962025316,0.154287079,0.236876045,0.04823145,0.049062558,0.044637855,0.04540704,0.5,1211.54620462046,42.7200187265877,22.3746069716885,-11.8059405940594,4.24264068711928,-0.521727240236423,-0.989544554455442,-0.0555775577557753,6.48074069840786,0.363558759415592
"57",57,22,"cooke2010","cooke","2010","ctrl",47,"conventional therapy","http://www.ncbi.nlm.nih.gov/pubmed/19704158","uk","norfolk","norwich",9.2,9.2,9.2,1,42,84,66.4,NA,36.76,"<90days",0.100712329,1,NA,"","","","",NA,"","",NA,">28",NA,NA,NA,"","",29.4,"","","",NA,"",NA,7,"10mwt","le","","speed","","speed","lohse",1,1,38,0.17,0.224,0,31,0.3,0.35,0,0,24,0.44,0.39,0.5,0.13,0.287332352,0.27,0.298742141,0.45243774,0.903789466,0.979591837,0.443204317,0.885344783,0.029009209,0.037063624,0.027837242,0.035566259,-0.5,-576.693795379538,6.06300255648965,-14.2824091984095,-20.6059405940594,3.03315017762062,-1.73121774973509,5.41045544554456,-0.0555775577557753,6.48074069840786,0.363558759415592
"58",58,22,"cooke2010","cooke","2010","exp",48,"CPT+CPT","http://www.ncbi.nlm.nih.gov/pubmed/19704158","uk","norfolk","norwich",23,23,23,1,42,84,67.5,NA,32.43,"<90days",0.088849315,1,NA,"","","","",NA,"","",NA,">28",NA,NA,NA,"","",28.9,"","","",NA,"",NA,3,"10mwt","le","","speed","","speed","lohse",1,1,35,0.27,0.36,0,32,0.55,0.49,0,0,28,0.59,0.48,0.5,0.28,0.426966041,0.32,0.417392373,0.65578986,0.766664703,0.977777778,0.641216752,0.749627709,0.034715148,0.036968211,0.033189396,0.035343435,0.5,-581.023795379538,5.69473440996154,-14.6506773449377,-6.80594059405941,4.79583152331272,0.0314635959570113,6.51045544554456,-0.0555775577557753,6.48074069840786,0.363558759415592
"59",59,22,"cooke2010","cooke","2010","exp",49,"CPT+FST","http://www.ncbi.nlm.nih.gov/pubmed/19704158","uk","norfolk","norwich",23.5,23.5,23.5,1,42,84,71.2,NA,33.86,"<90days",0.092767123,1,NA,"","","","",NA,"","",NA,">28",NA,NA,NA,"","",30.3,"","","",NA,"",NA,0,"10mwt","le","","speed","","speed","lohse",1,1,36,0.23,0.29,0,36,0.42,0.39,0,0,29,0.46,0.37,0.5,0.19,0.343656806,0.23,0.327973576,0.552877164,0.701276007,0.978417266,0.540944563,0.686140554,0.032023238,0.034608167,0.030655857,0.03313041,0.5,-579.593795379538,5.81893461039046,-14.5264771445087,-6.30594059405941,4.84767985741633,0.0833119300606215,10.2104554455446,-0.0555775577557753,6.48074069840786,0.363558759415592
